Section	Question	Why this matters	Expected answer / format	Current answer	Status	Notes
Push notifications	Is ONESIGNAL_API_KEY configured for production if push is enabled?	Required for server-side OneSignal operations	Yes / API key	Present locally	Pending	Optional if push is not in scope for launch
SMS / OTP	Will Mekong SMS OTP be used in production?	Determines whether SMS secrets are launch blockers	Yes / No	Optional feature	Pending	Decide before release
SMS / OTP	If yes, are production Mekong credentials configured instead of sandbox credentials?	Prevents broken or invalid production OTP flow	Yes / No	Currently sandbox values locally	Pending	Do not ship sandbox URL or sandbox creds to production
SMS / OTP	If yes, is SEND_SMS_HOOK_SECRET configured securely?	Protects the SMS hook endpoint	Yes / secret stored securely	Present locally	Pending	Keep enabled in production
Email	Is a real Payload email adapter configured for production?	Needed for real email delivery and removes console-only warning	Yes / provider selected	No	Pending	Current app warns that no email adapter is configured
Security	Have all development and test credentials been rotated before launch?	Reduces risk from exposed/shared dev secrets	Yes / No	Not confirmed	Pending	Important before public production release
Security	Are production secrets stored only in the hosting platform and not in git?	Prevents secret leakage	Yes / No	Should be yes	Pending	Use Vercel Production env vars
Verification	Has npm install been run successfully in the target environment?	Ensures dependency resolution works	Yes / No	Local only	Pending	Usually handled by Vercel install step
Verification	Has the production build completed successfully?	Hard release gate	Yes / No	Yes	Confirmed	Verified with npx next build --webpack
Verification	Has the built app been served and smoke-tested in production mode?	Confirms runtime behavior after build	Yes / No	Yes	Confirmed	Verified with npx next start outside sandbox
Verification	Has Google Analytics been smoke-tested in production mode?	Confirms the actual production behavior	Yes / No	Yes	Confirmed	Verified before consent and after consent
Verification	Are production-blocked routes still blocked in production?	Prevents accidental exposure of demo/admin-only actions	Yes / No	Code guards exist	Pending	Check routes such as /api/seed-demo and /api/inspect-image after deploy
Verification	Are API docs unavailable in production?	Prevents accidental public exposure of internal docs	Yes / No	Expected yes	Pending	Check /payload-api/docs on deployed production site
Launch decision	Is the app ready to deploy to public production today?	Final go/no-go checkpoint	Yes / No	Not yet	Pending	Main remaining blockers are production env setup domain DNS and external service credentials
